cislo;nazev;celkem;procenta
1;Èeská str.sociálnì demokrat.;1 016 829;20,45
2;Strana svobodnıch obèanù;122 564;2,46
3;Èeská pirátská strana;132 417;2,66
4;TOP 09;596 357;11,99
5;HLAVU VZHÙRU - volební blok;21 241;0,42
6;Obèanská demokratická strana;384 174;7,72
7;Romská demokratická strana;609;0,01
8;Klub angaovanıch nestraníkù;293;0
9;politické hnutí Zmìna;28 592;0,57
10;Strana soukromníkù ÈR;13 041;0,26
11;Køes.demokr.unie-Ès.str.lid.;336 970;6,78
12;Volte Pr.Blok www.cibulka.net;1 225;0,02
13;Suver.-Strana zdravého rozumu;13 538;0,27
14;Aktiv nezávislıch obèanù;1 237;0,02
15;Strana Práv Obèanù ZEMANOVCI;75 113;1,51
16;OBÈANÉ 2011;455;0
17;Úsvit pøímé demokr.T.Okamury;342 339;6,88
18;Dìlnic.str.sociální spravedl.;42 906;0,86
20;ANO 2011;927 240;18,65
21;Komunistická str.Èech a Moravy;741 044;14,91
22;LEV 21-Národní socialisté;3 843;0,07
23;Strana zelenıch;159 025;3,19
24;Koruna Èeská (monarch.strana);8 932;0,17
